合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
棉纱 (CY111),24205,25660/22750,7%,7%,8471.75元,4元,4元,0元,25,4元,21,,0.2479%
聚氯乙烯 (v2107),9300,9950/8650,20%,20%,9300元,1元,1元,1元,25,2元,23,,0.2473%
纸浆 (sp2110),6238,6798/5676,11%,11%,6861.8元,0.5/万分之,0.5/万分之,0/万分之,20,3.1元,16.9,主力合约,0.2463%
棉纱 (CY206),24555,26030/23080,7%,7%,8594.25元,4元,4元,0元,25,4元,21,,0.2443%
棕榈 (p2203),8108,8756/7460,10%,10%,8108元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2442%
郑醇 (MA111),3080,3296/2864,8%,8%,2464元,2元,2元,2元,10,4元,6,,0.2435%
棉纱 (CY205),24685,26170/23200,7%,7%,8639.75元,4元,4元,0元,25,4元,21,,0.2431%
纯碱 (SA110),2855,3084/2626,12%,12%,6852元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2408%
郑醇 (MA202),3115,3334/2896,8%,8%,2492元,2元,2元,2元,10,4元,6,,0.2408%
棉纱 (CY201),25015,26520/23510,7%,7%,8755.25元,4元,4元,0元,25,4元,21,主力合约,0.2399%
棉纱 (CY202),25020,26525/23515,7%,7%,8757元,4元,4元,0元,25,4元,21,,0.2398%
纯碱 (SA111),2869,3099/2639,12%,12%,6885.6元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2396%
棕榈 (p2202),8264,8924/7604,10%,10%,8264元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2396%
聚氯乙烯 (v2108),9645,10320/8970,20%,20%,9645元,1元,1元,1元,25,2元,23,,0.2385%
郑醇 (MA112),3146,3367/2925,8%,8%,2516.8元,2元,2元,2元,10,4元,6,,0.2384%
10年国债 (T2206),98.9149,100.89/96.94,2%,2%,19782.98元,3.03元,3.03元,0元,50,3元,47,,0.2376%
10年国债 (T2203),99.3049,101.29/97.3199,2%,2%,19860.98元,3.03元,3.03元,0元,50,3元,47,,0.2366%
棉花 (CF201),17545,18950/16140,10%,10%,8772.5元,4.3元,4.3元,0元,25,4.3元,20.7,主力合约,0.2360%
